,district,vendor,price,pricePerMeter,originalFlatId,area,market,floatFloor,roomsNumber,buildingMaterial,constructionYear,heating,condition,floorsNumber,availableDate,typeOfBuilding,elevator,snapshotDate
1044,Ursus,https://polnocbalicka.otodom.pl,562000,9471,4bJGc,"59,34",pierwotny,6,3,nieznany,2022,miejskie,do wykończenia,7,2021-02-17,blok,yes,2021-05-29
1045,Ursynów,https://www.otodom.pl/shop/ladna-willa-nieruchomosci-IDqQeB/,788000,10617,4aF8f,"74,22",wtórny,parter,3,inne,2021,miejskie,nieznany,4,2021-02-17,nieznany,yes,2021-05-29
1046,Ursynów,https://www.otodom.pl/shop/ladna-willa-nieruchomosci-IDqQeB/,760000,13103,4bJuG,58,wtórny,1,2,cegła,2007,miejskie,nieznany,3,2021-02-17,blok,yes,2021-05-29
1047,Mokotów,https://www.otodom.pl/shop/expander-advisors-ID3ICK/,599000,13036,4bzG2,"45,95",wtórny,3,2,nieznany,2008,nieznane,do zamieszkania,6,2021-02-17,nieznany,yes,2021-05-29
1048,Bemowo,nieznany,630000,8924,4arnb,"70,60",wtórny,3,3,inne,1985,miejskie,do zamieszkania,4,2021-02-17,blok,yes,2021-05-29
1049,Wola,nieznany,542000,11256,4bJFV,"48,15",wtórny,1,3,pustak,1972,miejskie,do remontu,15,2021-02-17,blok,yes,2021-05-29
1050,Targówek,nieznany,549000,8714,4btT9,63,wtórny,1,3,wielka płyta,2021,miejskie,do zamieszkania,10,2021-02-17,blok,yes,2021-05-29
1051,Targówek,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,410000,7707,4bzy4,"53,20",wtórny,9,3,nieznany,1976,miejskie,nieznany,10,2021-02-17,blok,yes,2021-05-29
1052,Żoliborz,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,1254000,14929,4bzWZ,84,wtórny,8,3,nieznany,2008,miejskie,nieznany,15,2021-02-17,apartamentowiec,yes,2021-05-29
1053,Bemowo,https://www.otodom.pl/shop/wawa-estate-ID2Xyn/,540000,12497,4bAxg,"43,21",wtórny,4,2,cegła,2016,miejskie,nieznany,4,2021-02-17,apartamentowiec,yes,2021-05-29
1054,Białołęka,nieznany,635000,8944,4aSEm,71,wtórny,parter,3,cegła,2011,miejskie,do zamieszkania,3,2021-02-17,blok,yes,2021-05-29
1055,Śródmieście,https://investor.otodom.pl,846000,10492,4bJFt,"80,63",wtórny,5,4,nieznany,2021,nieznane,nieznany,5,2021-02-17,nieznany,yes,2021-05-29
1056,Praga-Północ,https://investor.otodom.pl,740000,9273,4bJFs,"79,80",pierwotny,1,3,nieznany,2021,nieznane,nieznany,4,2021-02-17,nieznany,yes,2021-05-29
1057,Praga-Północ,https://investor.otodom.pl,1030000,9205,4bJFr,"111,90",pierwotny,1,4,nieznany,2008,nieznane,nieznany,4,2021-02-17,nieznany,yes,2021-05-29
1058,Wola,https://investor.otodom.pl,485000,10505,4bJFq,"46,17",wtórny,5,2,nieznany,1955,nieznane,nieznany,5,2021-02-17,nieznany,yes,2021-05-29
1059,Mokotów,nieznany,495000,13862,4aXVV,"35,71",wtórny,2,2,nieznany,1970,miejskie,do zamieszkania,4,2021-02-17,blok,yes,2021-05-29
1060,Wola,nieznany,1390000,16972,4bHoY,"81,90",wtórny,2,4,inne,2021,miejskie,do zamieszkania,8,2021-02-17,apartamentowiec,yes,2021-05-29
1061,Mokotów,https://wawa.otodom.pl,862500,12759,4bJFa,"67,60",wtórny,1,3,cegła,2009,nieznane,do zamieszkania,9,2021-02-17,nieznany,yes,2021-05-29
1062,Mokotów,https://mci.otodom.pl,1220000,15958,4bJF3,"76,45",wtórny,1,3,cegła,1965,nieznane,do remontu,3,2021-02-17,blok,yes,2021-05-29
1063,Włochy,https://mci.otodom.pl,501000,10252,4bJF2,"48,87",wtórny,parter,2,nieznany,2013,nieznane,do zamieszkania,7,2021-02-17,blok,yes,2021-05-29
1064,Śródmieście,https://steel.otodom.pl,750000,13993,4bJF1,"53,60",wtórny,parter,2,nieznany,1965,nieznane,do remontu,4,2021-02-17,blok,yes,2021-05-29
1065,Ochota,https://steel.otodom.pl,321000,16719,4bJF0,"19,20",wtórny,8,1,nieznany,1964,nieznane,do remontu,10,2021-02-17,blok,yes,2021-05-29
1066,Bielany,https://steel.otodom.pl,499000,10267,4bJEY,"48,60",wtórny,9,3,nieznany,1970,nieznane,do remontu,10,2021-02-17,blok,yes,2021-05-29
1067,Bielany,https://steel.otodom.pl,355000,13396,4bJEX,"26,50",wtórny,> 10,1,wielka płyta,1975,nieznane,do remontu,11,2021-02-17,blok,yes,2021-05-29
1068,Rembertów,https://domusnova.otodom.pl,261234,10449,4bJEV,25,pierwotny,5,1,nieznany,2023,nieznane,nieznany,5,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2023-06-30"">2023-06-30</div></div>",nieznany,yes,2021-05-29
1069,Ursus,https://domusnova.otodom.pl,350000,9915,4bJEW,"35,30",pierwotny,parter,2,nieznany,2022,nieznane,nieznany,4,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2022-05-31"">2022-05-31</div></div>",nieznany,yes,2021-05-29
1070,Wilanów,https://koloseum-nieruchomosci.otodom.pl,945000,13125,4bJET,72,wtórny,1,3,nieznany,2008,miejskie,do zamieszkania,4,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-05-29"">2021-05-29</div></div>",apartamentowiec,yes,2021-05-29
1071,Praga-Południe,nieznany,649000,10384,4byYa,"62,50",wtórny,parter,3,cegła,2010,miejskie,do zamieszkania,2,"<div aria-label=""Dostępne od"" class=""css-18h1kfv ev4i3ak3"" role=""region""><div class=""css-o4i8bk ev4i3ak2"" title=""Dostępne od"">Dostępne od<!-- -->:</div><div class=""css-1ytkscc ev4i3ak0"" title=""2021-05-29"">2021-05-29</div></div>",blok,yes,2021-05-29
