,name,since,address,province,postcode,city,url
180,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
181,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
182,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
183,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
184,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
185,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
186,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
187,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
188,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
189,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
190,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
191,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
192,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
193,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
194,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
195,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
196,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
197,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
198,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
199,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
200,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
201,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
202,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
203,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
204,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
205,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
206,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
207,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
208,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
209,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
210,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
211,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
212,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
213,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
214,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
215,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
216,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
217,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
218,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
219,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
220,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
221,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
222,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
223,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
224,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
225,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
226,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
227,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
228,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
229,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
230,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
231,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
232,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
233,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
234,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
235,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
236,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
237,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
238,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
239,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
240,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
241,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
242,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
243,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
244,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
245,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
246,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
247,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
248,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
249,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
250,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
251,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
252,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
253,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
254,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
255,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
256,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
257,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
258,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
259,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
260,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
261,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
262,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
263,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
264,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
265,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
266,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
267,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
268,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
269,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
270,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
271,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
272,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
273,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
274,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
275,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
276,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
277,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
278,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
279,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
280,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
281,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
282,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
283,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
284,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
285,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
286,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
287,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
288,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
289,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
290,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
291,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
292,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
293,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
294,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
295,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
296,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
297,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
298,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
299,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
300,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
301,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
302,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
303,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
304,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
305,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
306,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
307,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
308,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
309,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
310,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
311,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
312,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
313,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
314,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
315,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
316,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
317,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
318,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
319,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
320,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
321,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
322,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
323,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
324,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
325,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
326,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
327,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
328,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
329,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
330,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
331,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
332,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
333,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
334,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
335,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
336,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
337,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
338,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
339,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
340,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
341,Freedom Nieruchomości Franczyza,17.04.2018,Pokorna 2 lok. U13,mazowieckie,00-199,Warszawa,https://www.otodom.pl/shop/freedom-nieruchomosci-franczyza-IDh1mU/
342,Expander Advisors,30.04.2015,Ul. Inflancka 4b,mazowieckie,00-189,Warszawa,https://www.otodom.pl/shop/expander-advisors-ID3ICK/
343,Biuro sprzedaży,02.11.2015,Marynarska 21 lok 6,mazowieckie,02-674,Warszawa,https://N-plus.otodom.pl
344,Metrohouse  Franchise S.A.,02.07.2018,Żelazna 28/30,mazowieckie,00-832,Warszawa,https://metrohouse-franchise.otodom.pl
345,Maxon Nieruchomosci Sp. z o.o.,28.06.2018,Powązkowska 44C,mazowieckie,01-797,Warszawa,https://www.otodom.pl/shop/maxon-nieruchomosci-sp-z-o-o-IDiDsI/
346,AdReM Nieruchomości Sp z o.o.,22.01.2018,Bukowińska 24a/34,mazowieckie,02-703,Warszawa,https://adremwarszawa.otodom.pl
347,Retalia Nieruchomości,12.10.2017,Grzybowska 87,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/retalia-nieruchomosci-IDcRRe/
348,REALS Nieruchomości sp. z o.o.,20.04.2018,Grzybowska 2B lok. 83,mazowieckie,00-131,Warszawa,https://www.otodom.pl/shop/reals-nieruchomosci-sp-z-o-o-IDgTq0/
349,Wilsons Nieruchomości Sp. z o.o.,22.02.2018,Świętokrzyska 20 lok 311,mazowieckie,00-002,Warszawa,https://wilsons.otodom.pl
350,Mzuri Sp. z o.o.,14.01.2016,Aleja Niepodległości 221/1,mazowieckie,02-087,Warszawa,https://mzuri.otodom.pl
351,Sadyba Metrohouse,23.02.2017,Powsińska 34,mazowieckie,02-903,Warszawa,https://metrohousesadyba.otodom.pl
352,Lions Estate Sp. z o o.,09.09.2016,Wiejska 11/13,mazowieckie,00-480,Warszawa,https://lionsestate.otodom.pl
353,Axi Immo Group Sp. z o.o.,14.04.2011,Twarda 18,mazowieckie,00-105,Warszawa,https://axi.otodom.pl
354,INVESTORIUS Sp. z o.o.,09.01.2015,Śniadeckich 17,mazowieckie,00-654,Warszawa,https://investorius.otodom.pl
355,Euro-House Nieruchomości komercyjne,04.02.2014,ul. Braci Wagów 20 lok u1,mazowieckie,02-791,Warszawa,https://www.otodom.pl/shop/euro-house-nieruchomosci-komercyjne-ID2KPJ/
356,Biuro Na Miarę,20.02.2018,Nowy Świat 47,mazowieckie,00-042,Warszawa,https://biuronamiare.otodom.pl
357,Flatcare - nowoczesny zarządca nieruchomości,02.12.2019,Kępa Tarchomińska 6C/1/2,mazowieckie,03-113,Warszawa,https://flatcare.otodom.pl
358,En Casa Premium Real Estate,19.11.2014,Studencka 55,mazowieckie,02-735,Warszawa,https://encasa.otodom.pl
359,PARTNER HOUSE GROUP,09.07.2020,Wiertnicza 45,mazowieckie,02-953,Warszawa,https://www.otodom.pl/shop/partner-house-group-IDwtSy/
360,KOLOSEUM NIERUCHOMOŚCI,09.08.2012,Domaniewska 37/31G,mazowieckie,02-672,Warszawa,https://koloseum-nieruchomosci.otodom.pl
