White Water Investment Sp. zo.o.,11.12.2020,Aleje Jerozolimskie 85/21,mazowieckie,02-001,Warszawa,https://www.otodom.pl/shop/white-water-investment-sp-zo-o-IDvvFu/
Magmillon Sp. z o.o.,15.10.2020,GRZYBOWSKA 80/82,mazowieckie,00-844,Warszawa,https://www.otodom.pl/shop/magmillon-sp-z-o-o-IDvdKe/
Mota-Engil Real Estate Management Sp. z o. o.,11.05.2020,Aleje Jerozolimskie 100,mazowieckie,00-807,Warszawa,https://www.otodom.pl/shop/mota-engil-real-estate-management-sp-z-o-o-IDw2M0/
Ancona Development Sp. z o.o. DELTA Spółka komandytowa,18.01.2021,Chmielna 132/134,mazowieckie,00-805,Warszawa,https://www.otodom.pl/shop/ancona-development-sp-z-o-o-delta-spolka-komandytowa-IDvM3s/
T1 Deweloper,17.11.2020,Batalionu Włochy 14,mazowieckie,02-482,Warszawa,https://www.otodom.pl/shop/t1-deweloper-IDvoEz/
Resi4Rent,22.07.2019,ul.Litewska 1,mazowieckie,00-581,Warszawa,https://r4r.otodom.pl
AIR TOURS POLAND CENTRUM PODRÓŻY SP. Z. O. O.,21.04.2021,ALEJE JEROZOLIMSKIE 151/7U,mazowieckie,03-326,Warszawa,https://www.otodom.pl/shop/air-tours-poland-centrum-podrozy-sp-z-o-o-IDxsSl/
SOWIŃSKIEGO 72 Sp. z o.o.,23.08.2019,Marszałkowska 142,mazowieckie,00-061,Warszawa,https://www.otodom.pl/shop/sowinskiego-72-sp-z-o-o-IDqVDj/
DS CONSTRUCTION Sp. z o.o. Sp. k.,27.01.2015,Biała 4/81,mazowieckie,00-895,Warszawa,https://dsconstruction.otodom.pl
Grupa Inwest S.A.,23.12.2020,Fabryczna 5,mazowieckie,00-446,Warszawa,https://www.otodom.pl/shop/grupa-inwest-s-a-IDvzRn/
City Homes,29.10.2020,Studencka 55,mazowieckie,02-735,Warszawa,https://www.otodom.pl/shop/city-homes-IDviox/
Metropolis Investments Sp. z o.o.,19.02.2021,Bagno 2,mazowieckie,00-112,Warszawa,https://www.otodom.pl/shop/metropolis-investments-sp-z-o-o-IDx1fr/
Vacation Investments Sp. z o.o.,25.02.2020,Vacation Investments Sp. z o.o.,mazowieckie,78-100,Warszawa,https://www.otodom.pl/shop/vacation-investments-sp-z-o-o-IDuEC2/
Charbud Development sp. z o.o. sp. k.,20.10.2020,Zdziarska 60A,mazowieckie,03-289,Warszawa,https://www.otodom.pl/shop/charbud-development-sp-z-o-o-sp-k-IDv2Js/
HOREB S.A.,22.01.2019,ul. Bronowska 58,mazowieckie,03-995,Warszawa,https://www.otodom.pl/shop/horeb-s-a-IDnmwV/
SM Wola,13.10.2020,Powstańców Śląskich 104,mazowieckie,01-466,Warszawa,https://www.otodom.pl/shop/sm-wola-IDvboN/
DF Invest Sp. z o.o. M2 sp. k.,21.09.2020,Naddnieprzańska 26B,mazowieckie,04-205,Warszawa,https://www.otodom.pl/shop/df-invest-sp-z-o-o-m2-sp-k-IDv2K5/
Instal - Nika Sp. z o.o. Sp. Komandytowa,14.10.2020,Gen. Chruściela,mazowieckie,00-910,Warszawa,https://www.otodom.pl/shop/instal-nika-sp-z-o-o-sp-komandytowa-IDvb1v/
Płochocki Developer sp. komandytowa,17.12.2020,"ul. Domaniewska 39a,",mazowieckie,02-672,Warszawa,https://www.otodom.pl/shop/plochocki-developer-sp-komandytowa-IDvyzT/
Cordia Polska,01.03.2021,Koszykowa 63,mazowieckie,00-667,Warszawa,https://www.otodom.pl/shop/cordia-polska-IDx4w2/
Elin-Geslan Sp. z o.o.,06.04.2021,Kosmatki 63,mazowieckie,03-982,Warszawa,https://www.otodom.pl/shop/elin-geslan-sp-z-o-o-IDxlA9/
EOLIAN PARK S.A.,18.11.2020,Ryżowa 36,mazowieckie,02-495,Warszawa,https://www.otodom.pl/shop/eolian-park-s-a-IDvp3f/
LivUp,10.09.2020,Próźna 7/9,mazowieckie,00-107,Warszawa,https://www.otodom.pl/shop/livup-IDwWy4/
COGIK GROCHÓW SP. Z O. O. SPÓŁKA KOMANDYTOWA,17.03.2020,Krypska 17 / 12,mazowieckie,04-082,Warszawa,https://www.otodom.pl/shop/cogik-grochow-sp-z-o-o-spolka-komandytowa-IDuMih/
Inter Dos Sp. z o.o.,12.11.2020,Podkowy 120R/2,mazowieckie,04-937,Warszawa,https://www.otodom.pl/shop/inter-dos-sp-z-o-o-IDvmP9/
Villa Modrzewie Sp. z o.o.,23.01.2021,Kruszyńska 40A,mazowieckie,01-355,Warszawa,https://www.otodom.pl/shop/villa-modrzewie-sp-z-o-o-IDvKnQ/
RSM Praga,24.11.2020,ul. Białostocka 11,mazowieckie,03-748,Warszawa,https://www.otodom.pl/shop/rsm-praga-IDvrGc/
Dattero Sp. z o.o.,16.07.2019,Drawska 14/1,mazowieckie,02-202,Warszawa,https://www.otodom.pl/shop/dattero-sp-z-o-o-IDqFOB/
S-Bridge Office Park Sp. z o.o. Sp. Komandytowa,07.04.2021,Wał Miedzeszyński 608,mazowieckie,03-994,Warszawa,https://www.otodom.pl/shop/s-bridge-office-park-sp-z-o-o-sp-komandytowa-IDxlyL/
OMD Development Sp. z o.o.,08.12.2020,Marszałkowska 111,mazowieckie,00-102,Warszawa,https://www.otodom.pl/shop/omd-development-sp-z-o-o-IDvuwk/
Lighthouse ECP sp.k.,19.06.2020,Piękna 49,mazowieckie,00-672,Warszawa,https://www.otodom.pl/shop/lighthouse-ecp-sp-k-IDwl5B/
SK-BUDOWA,13.08.2020,Rakowska 12/19,mazowieckie,02-237,Warszawa,https://sk-budowa.otodom.pl
Polskie Poradnictwo Majątkowe Sp. z o. o. Sp. k.,08.01.2021,WSPÓLNA 2J/7,mazowieckie,05-075,Warszawa,https://www.otodom.pl/shop/polskie-poradnictwo-majatkowe-sp-z-o-o-sp-k-IDvFiN/
Marogobud Marek Ogorzałek,18.07.2017,Przewodowa 136 A,mazowieckie,04-985,Warszawa,https://www.otodom.pl/shop/marogobud-marek-ogorzalek-IDbErG/
Kyrih s.c.,20.12.2019,ul. Aleje Jerozolimskie 200 lok. 324,mazowieckie,02-486,Warszawa,https://www.otodom.pl/shop/kyrih-s-c-IDu3dh/
VESTA GROUP,24.02.2017,Długa 80,mazowieckie,05-075,Warszawa,https://www.otodom.pl/shop/vesta-group-IDa67C/
Grupa Budeko sp. z o.o. sp. k.,02.03.2021,Piękna 24/26a,mazowieckie,00-549,Warszawa,https://www.otodom.pl/shop/grupa-budeko-sp-z-o-o-sp-k-IDvU4u/
Poziom Inwestycje Sp. z o.o. Sp. k.,22.07.2020,ul. Idzikowskiego 6 lok. 29,mazowieckie,00-710,Warszawa,https://www.otodom.pl/shop/poziom-inwestycje-sp-z-o-o-sp-k-IDwzfW/
Kristensen Development Sp. z o.o. Sp.k,28.05.2020,Krucza 16/22,mazowieckie,00-526,Warszawa,https://www.otodom.pl/shop/kristensen-development-sp-z-o-o-sp-k-IDwb4n/
