29396;6;1574;447000,00;14900,00;4b7QG;30;wtórny;2;1;cegła;19600101;miejskie;do zamieszkania;3;20210420;blok;no;20210530
29397;1;706;410000,00;11357,00;4bDIi;36,0999984741211;wtórny;1;2;wielka płyta;19780101;miejskie;do zamieszkania;8;20210521;blok;no;20210530
29399;8;1574;418000,00;12294,00;4buZ5;34;wtórny;4;2;wielka płyta;19820101;miejskie;do zamieszkania;12;20210513;blok;no;20210530
29400;14;506;1200000,00;9449,00;4bbxR;127;wtórny;3;3;cegła;20020101;nieznane;do zamieszkania;4;20210423;blok;no;20210530
29401;18;506;919000,00;9777,00;4av8d;94;wtórny;3;3;pustak;20000101;miejskie;do zamieszkania;4;20210311;blok;no;20210530
29402;6;1574;589000,00;16093,00;4bAVa;36,5999984741211;wtórny;3;1;cegła;19480101;miejskie;do zamieszkania;3;20210519;kamienica;no;20210530
29403;8;1574;460000,00;12267,00;4bD2F;37,5;wtórny;1;1;nieznany;20080101;miejskie;do zamieszkania;8;20210521;blok;no;20210530
29405;8;498;480000,00;9231,00;4bLdA;52;wtórny;2;2;nieznany;19900101;nieznane;nieznany;4;20210530;nieznany;no;20210530
29406;6;1574;530000,00;11472,00;4bKpv;46,2000007629395;wtórny;9;2;żelbet;19750101;miejskie;do zamieszkania;10;20210528;blok;no;20210530
29407;17;706;720000,00;9474,00;4aR3C;76;pierwotny;2;3;cegła;20200101;miejskie;do wykończenia;4;20210401;blok;no;20210530
29408;14;1574;519000,00;11475,00;4bJcS;45,2299995422363;wtórny;1;2;nieznany;20090101;miejskie;do zamieszkania;4;20210527;blok;no;20210530
29409;8;498;669000,00;10619,00;4bLaT;63;wtórny;5;3;nieznany;19910101;nieznane;nieznany;9;20210531;nieznany;no;20210530
29410;14;989;640000,00;12851,00;4bxv1;49,7999992370605;wtórny;5;2;nieznany;20010101;nieznane;nieznany;10;20210516;apartamentowiec;no;20210530
29411;11;989;685000,00;13301,00;4bxyi;51,5;wtórny;3;2;nieznany;20210101;nieznane;nieznany;3;20210517;kamienica;no;20210530
29412;11;989;735000,00;15313,00;4bEYz;48;wtórny;3;2;nieznany;20210101;nieznane;nieznany;3;20210524;kamienica;no;20210530
29414;19;559;469000,00;9475,00;4bqGI;49,5;wtórny;8;3;wielka płyta;19690101;miejskie;do zamieszkania;10;20210529;blok;no;20210530
29415;3;559;490000,00;9608,00;4bhJW;51;wtórny;8;2;wielka płyta;19780101;miejskie;do zamieszkania;12;20210529;blok;no;20210530
29416;11;559;670000,00;18108,00;4btcl;37;wtórny;4;1;cegła;19260101;miejskie;do zamieszkania;5;20210529;kamienica;no;20210530
29418;6;559;549999,00;11458,00;47nFx;48;wtórny;2;2;cegła;19550101;miejskie;do remontu;5;20210530;blok;no;20210530
29419;6;559;499000,00;11881,00;4bcZa;42;wtórny;6;3;wielka płyta;19700101;miejskie;do zamieszkania;10;20210529;blok;no;20210530
29420;20;559;699000,00;10922,00;4bmSP;64;wtórny;3;4;inne;19620101;miejskie;do zamieszkania;3;20210529;blok;no;20210530
29422;12;559;660000,00;11186,00;4bcJT;59;wtórny;1;3;inne;20110101;miejskie;do zamieszkania;3;20210529;blok;no;20210530
29423;12;498;489000,00;10188,00;4bL9Z;48;wtórny;2;3;nieznany;19700101;nieznane;do zamieszkania;4;20210601;nieznany;no;20210530
29424;6;864;1300000,00;16831,00;47R9y;77,2399978637695;wtórny;1;3;nieznany;20090101;miejskie;do zamieszkania;5;20200922;apartamentowiec;no;20210530
29425;11;864;7900000,00;49437,00;47RpK;159,800003051758;wtórny;4;3;cegła;20180101;miejskie;do zamieszkania;4;20200922;apartamentowiec;no;20210530
29426;11;864;5875000,00;25849,00;46REt;227,279998779297;wtórny;7;6;nieznany;19120101;miejskie;do zamieszkania;7;20200720;kamienica;no;20210530
29427;11;864;7000000,00;29289,00;47QXd;239;wtórny;1;7;cegła;19250101;miejskie;do zamieszkania;5;20200922;kamienica;no;20210530
29428;11;864;5800000,00;29000,00;4579b;200;wtórny;2;4;cegła;19190101;miejskie;nieznany;5;20200101;kamienica;no;20210530
29429;11;864;576000,00;18000,00;45wOp;32;wtórny;6;2;nieznany;19140101;miejskie;nieznany;6;20200420;kamienica;no;20210530
29430;6;864;1790000,00;14975,00;468zU;119,529998779297;pierwotny;1;4;nieznany;20190101;miejskie;do wykończenia;5;20200602;apartamentowiec;no;20210530
29431;20;864;6500000,00;24809,00;44fnm;262;pierwotny;4;5;inne;20050101;miejskie;do zamieszkania;6;20200116;apartamentowiec;no;20210530
29434;9;864;695000,00;16163,00;44R5W;43;wtórny;2;1;nieznany;19020101;miejskie;nieznany;4;20200225;kamienica;no;20210530
29436;11;864;2500000,00;28895,00;42GQX;86,5199966430664;wtórny;1;3;nieznany;20170101;miejskie;do zamieszkania;4;20190923;apartamentowiec;no;20210530
29437;11;864;1290000,00;23036,00;43rH7;56;wtórny;1;2;nieznany;19110101;miejskie;nieznany;6;20191111;kamienica;no;20210530
29438;11;864;2050000,00;13612,00;43swJ;150,600006103516;wtórny;4;5;cegła;19240101;miejskie;do zamieszkania;4;20191112;kamienica;no;20210530
29439;11;864;1250000,00;19231,00;42c9R;65;wtórny;1;3;cegła;19300101;miejskie;do zamieszkania;4;20190827;kamienica;no;20210530
29441;19;864;965000,00;19897,00;41dIa;48,5;wtórny;4;2;cegła;20170101;miejskie;do zamieszkania;5;20190601;blok;no;20210530
29442;11;864;5115292,00;29900,00;4aayl;171,080001831055;pierwotny;4;5;nieznany;20210101;miejskie;nieznany;5;20210401;apartamentowiec;no;20210530
29443;11;864;3600000,00;26151,00;4aaym;137,660003662109;wtórny;3;6;nieznany;19080101;miejskie;nieznany;6;20210219;kamienica;no;20210530
29445;6;864;1222446,00;13990,00;49SFZ;87,379997253418;wtórny;5;4;nieznany;20200101;miejskie;do zamieszkania;6;20210202;blok;no;20210530
29446;6;864;2278000,00;17000,00;49XJU;134;wtórny;1;4;nieznany;20070101;miejskie;nieznany;6;20210206;apartamentowiec;no;20210530
29447;17;864;2400000,00;13423,00;49CxX;178,800003051758;wtórny;1;4;nieznany;20050101;miejskie;do zamieszkania;2;20210118;apartamentowiec;no;20210530
29448;6;864;2332743,00;14990,00;49FIR;155,619995117188;wtórny;6;5;nieznany;20200101;miejskie;do zamieszkania;6;20210120;blok;no;20210530
29450;9;864;1490000,00;12505,00;494OJ;119,150001525879;pierwotny;5;5;nieznany;20200101;miejskie;do wykończenia;5;20201202;apartamentowiec;no;20210530
29451;9;864;980000,00;12588,00;495qI;77,8499984741211;pierwotny;4;4;nieznany;20200101;miejskie;nieznany;5;20201207;apartamentowiec;no;20210530
29453;6;864;3600000,00;29508,00;49b1d;122;wtórny;4;3;nieznany;20190101;miejskie;do wykończenia;4;20201213;apartamentowiec;no;20210530
29454;17;864;2300000,00;18167,00;49hhu;126,599998474121;wtórny;5;4;nieznany;20090101;miejskie;do zamieszkania;5;20201210;apartamentowiec;no;20210530
29456;19;864;2507223,00;23700,00;48Ldt;105,790000915527;wtórny;2;4;nieznany;20200101;miejskie;nieznany;4;20210115;blok;no;20210530
29457;19;864;2558061,00;24300,00;48LdC;105,269996643066;wtórny;4;4;nieznany;20200101;miejskie;nieznany;4;20210115;blok;no;20210530
29458;6;864;1700000,00;22667,00;48RsR;75;wtórny;2;3;nieznany;20180101;miejskie;nieznany;5;20201123;apartamentowiec;no;20210530
29460;11;864;1590000,00;9876,00;48ubL;161;wtórny;4;4;nieznany;20050101;miejskie;do zamieszkania;11;20210101;apartamentowiec;no;20210530
29462;14;864;1450000,00;17683,00;48Hko;82;wtórny;4;2;nieznany;20170101;miejskie;do zamieszkania;7;20201113;apartamentowiec;no;20210530
29464;6;864;5350000,00;18215,00;47ZpW;293,709991455078;wtórny;6;7;nieznany;20160101;miejskie;do zamieszkania;6;20200930;blok;no;20210530
29465;11;864;4400000,00;29810,00;489UF;147,600006103516;wtórny;4;4;nieznany;20100101;miejskie;do zamieszkania;15;20201009;apartamentowiec;no;20210530
29466;9;864;450000,00;15963,00;48riK;28,1900005340576;wtórny;1;1;nieznany;20220101;miejskie;nieznany;4;20201026;kamienica;no;20210530
29467;17;864;1390000,00;12991,00;48ryA;107;pierwotny;3;3;nieznany;20060101;miejskie;nieznany;3;20201027;apartamentowiec;no;20210530
29468;6;864;2200000,00;19298,00;4btWa;114;wtórny;2;3;nieznany;20030101;miejskie;do zamieszkania;3;20210512;apartamentowiec;no;20210530
29469;11;864;2900000,00;24167,00;4byod;120;wtórny;1;3;nieznany;20050101;miejskie;nieznany;5;20210517;apartamentowiec;no;20210530
29470;11;864;3200000,00;30189,00;4bImM;106;wtórny;2;3;nieznany;19390101;miejskie;do zamieszkania;6;20210526;kamienica;no;20210530
29471;11;864;1090000,00;15591,00;4bkGE;69,9100036621094;wtórny;6;4;nieznany;19350101;miejskie;nieznany;6;20210504;kamienica;no;20210530
29472;6;864;2550000,00;21519,00;4btdB;118,5;wtórny;1;3;inne;20060101;miejskie;do zamieszkania;4;20210512;apartamentowiec;no;20210530
29473;11;864;8800000,00;32612,00;4b6XZ;269,839996337891;wtórny;5;6;nieznany;20100101;miejskie;nieznany;5;20210419;apartamentowiec;no;20210530
29474;6;864;2555000,00;28198,00;4bc5m;90,6100006103516;pierwotny;2;3;nieznany;20230101;miejskie;nieznany;2;20210423;apartamentowiec;no;20210530
29477;11;864;590000,00;27609,00;4bkGB;21,3700008392334;wtórny;6;1;nieznany;19350101;miejskie;nieznany;6;20210504;kamienica;no;20210530
29478;11;864;5900000,00;27460,00;4bkGD;214,860000610352;wtórny;1;1;nieznany;19350101;miejskie;nieznany;6;20210504;kamienica;no;20210530
29479;11;864;2750000,00;16272,00;4bihA;169;wtórny;1;5;nieznany;19300101;miejskie;do zamieszkania;7;20200101;kamienica;no;20210530
29480;6;864;2528730,00;23001,00;4bihB;109,940002441406;pierwotny;1;4;nieznany;20230101;miejskie;nieznany;2;20210430;apartamentowiec;no;20210530
29482;11;864;1690000,00;21125,00;4aORb;80;wtórny;6;2;nieznany;19390101;miejskie;do zamieszkania;6;20191101;kamienica;no;20210530
29483;20;864;1880000,00;19555,00;4aQI7;96,1399993896484;wtórny;2;4;nieznany;19370101;miejskie;nieznany;4;20210401;kamienica;no;20210530
